@relation pca_music

@attribute Band_Energy_Mean continuous
@attribute Chroma_stft_mean continuous
@attribute Mean_ZCR continuous
@attribute MFCC_delta_std continuous
@attribute Total_beats continuous
@attribute Mean_Spectral_Flux continuous
@attribute Band_Ratio_StdDev continuous
@attribute b4 continuous
@attribute MFCC_delta_mean continuous
@attribute Average_beats continuous
@attribute MFCC_delta_variance continuous
@attribute b5 continuous
@attribute Spectral_Roll_Off continuous
@attribute ZCR_StdDev continuous
@attribute genre {pop,electronic,rap,folk,rock,classical}

@data
2.523798,1.926996,2.454281,-2.356637,-1.44871,0.011991,1.083227,0.190477,-2.503199,-1.037642,-1.115469,-0.17377,-0.323946,-0.684014,pop
-0.553043,0.541025,3.272337,-2.613649,2.452851,-0.166607,0.760569,-0.337127,0.038458,-0.77363,-0.964673,-0.938884,-0.036716,-0.589935,pop
0.550926,1.963494,1.743502,-0.796054,0.905005,0.918645,0.901627,2.21365,0.646562,0.659386,-1.078061,-0.064783,0.415065,0.750714,pop
0.25933,1.009068,1.545025,-0.946135,-2.923009,0.422278,0.639001,-0.06984,0.220279,0.251638,-0.362972,-0.143973,0.06455,0.723445,pop
0.293167,1.119742,2.330652,-3.264299,0.765439,-0.80444,0.120754,0.046223,1.693853,0.779589,-1.104242,-0.42957,0.570886,-0.09319,pop
-0.548595,-0.741344,-4.420664,-0.535713,1.204069,-1.594779,-0.282134,0.88733,0.557924,0.081849,0.138089,-0.407334,0.275369,0.076218,pop
-1.802309,-0.411002,-5.374274,0.608998,1.10793,-1.082143,-0.553722,0.049689,0.336395,0.149025,-0.799925,-0.732971,-0.165872,-0.236437,pop
1.850986,0.236511,-1.431108,-1.469326,0.603367,-0.7775,0.974998,1.451578,-0.640254,0.394115,-0.750301,0.54524,-0.64338,0.067679,pop
-0.347331,0.417383,-3.54748,0.380692,0.736856,-0.443118,-0.236991,0.982381,0.338966,0.290383,0.099163,-0.898904,0.235192,-0.331461,pop
-0.345398,0.405697,-3.426185,-0.226244,0.985758,-0.460954,0.499431,0.791227,0.58072,0.192672,0.129066,0.252792,-0.146088,-0.387185,pop
0.89444,-1.670176,1.982905,-0.171687,0.878105,0.737074,0.981097,-1.238954,0.380632,0.334989,-0.689994,-1.038118,0.569947,0.073412,pop
0.927609,-1.758888,1.98659,0.223006,2.103425,1.05861,0.884192,-0.842751,0.202247,-0.813752,-0.432575,-1.105226,0.624297,0.843619,pop
1.71428,-2.196628,2.863736,-0.662322,0.097935,0.347213,0.814551,-2.44524,-1.779368,0.0546,0.226218,-0.970768,0.370071,-0.010797,pop
0.736515,-1.92751,2.410352,-0.034985,-2.99691,0.196117,0.221397,-1.525957,0.26202,-0.819611,0.46378,-1.003769,0.568235,0.404646,pop
1.147401,-1.610634,1.341859,0.643922,0.628716,1.018246,0.676789,-0.465754,1.234341,0.462167,-0.762122,-0.764984,0.702902,1.001156,pop
-0.875151,-1.03783,5.550686,-1.041087,-2.08245,0.109213,-0.542348,-1.482584,0.584427,-1.848914,0.275736,-0.53819,0.792027,-0.197664,pop
-0.531307,-1.714861,5.417918,0.303332,2.428613,1.58944,-0.336655,-2.493449,0.643973,-0.6648,0.427597,-0.110017,1.161144,1.047922,pop
-0.365942,-0.344449,5.145357,-1.34845,2.301735,0.637903,-0.664515,-1.731405,0.944169,-0.690454,0.737078,-0.495727,1.127067,0.877857,pop
-0.052417,-0.577599,4.820844,-0.593754,0.838596,0.968416,-0.103826,-1.210941,0.587224,1.469578,0.18603,0.007149,1.022642,0.72418,pop
-0.659392,-1.228564,4.888936,0.741123,2.090193,1.940577,-0.124003,-1.897313,0.102776,-0.278525,-0.051337,0.037863,1.355624,1.419854,pop
2.901808,-1.73872,0.75364,-0.135253,0.256442,-0.094095,0.666287,0.206117,-1.693084,-0.29846,-1.073371,0.213021,0.407311,0.00716,pop
1.927511,-0.051167,1.228789,-0.974034,0.379585,-0.347161,1.31985,3.388213,-1.58716,-0.270146,-0.208382,1.061529,0.592671,-0.194685,pop
1.69878,0.121396,-0.546059,0.165248,-0.974464,0.644093,1.002881,0.759655,-0.052019,-0.007811,-0.915668,-0.470002,0.093784,0.720668,pop
1.619458,1.183702,-0.408386,0.282575,-0.630317,1.171088,1.002879,0.676988,0.0822,-0.143615,-1.000427,-0.746087,0.221075,0.443718,pop
2.013769,0.48515,-0.11892,-0.398652,-0.469352,0.347454,0.881829,1.618199,0.470808,-0.304471,-0.866831,-0.282812,-0.108008,0.901901,pop
0.298838,-0.661045,2.765158,-0.299651,-0.490902,0.782577,0.881194,-0.756362,0.499102,-0.55741,-0.944469,-0.861694,-0.177437,-0.56387,pop
0.754379,1.303386,3.413105,0.940052,-1.264713,1.896994,0.404941,0.607428,1.075729,0.040349,-1.432224,0.140299,0.182421,-0.118964,pop
1.957335,0.130959,1.252778,-1.615203,-0.535366,0.155733,1.300062,-0.269866,0.041874,-0.091347,-0.500098,0.221795,0.682045,0.323186,pop
1.953472,-0.949055,1.721021,-1.76734,-0.585648,-0.314075,1.604106,0.135031,-0.879537,0.294997,-0.081671,0.098025,0.706836,0.125682,pop
0.819571,-0.918321,2.443742,-0.698017,-0.57715,0.485196,1.219699,-0.960029,-0.417339,0.123341,-0.637121,-0.7454,-0.545864,-0.454767,pop
0.076282,0.742387,-0.935285,-1.423136,0.367823,0.154325,1.531896,-0.223152,0.108512,-1.343656,-0.529859,-0.225959,0.333346,0.042498,pop
1.138046,1.21011,0.367472,-2.456698,-0.845359,-0.525319,0.741332,0.084613,0.292358,-0.180562,-0.230926,0.496713,-0.050432,0.558021,pop
1.622532,-0.011705,-0.989042,-1.793332,-0.726535,-0.504155,1.211686,-0.229235,-0.702737,-0.122432,-0.340393,0.589168,0.494918,0.468122,pop
1.537753,1.136875,0.015709,-3.091977,2.376322,-0.7089,0.535213,0.068968,1.900328,-0.206186,-0.421264,0.444319,0.016191,0.889354,pop
0.148929,0.176759,-1.498797,-1.570953,-1.283167,-0.755966,0.182123,-1.127831,1.079,-0.183507,-0.499895,0.078174,0.44104,-0.126699,pop
-0.182854,0.477589,1.810793,-1.28222,-1.121925,0.333008,1.760308,0.027894,-3.810358,1.258821,0.206506,0.502839,-0.270206,0.748864,pop
-0.685856,0.541225,0.341767,-1.877828,2.051058,0.096518,2.140282,0.59687,-0.735245,0.57939,-1.061265,-0.064386,-0.391297,-0.187265,pop
-0.685856,0.541224,0.341767,-1.877828,2.051058,0.096519,2.140282,0.59687,-0.735245,0.57939,-1.061265,-0.064386,-0.391297,-0.187265,pop
-0.622145,0.300413,1.340768,-2.789838,2.467227,-0.577896,1.387739,-0.08461,-0.018295,-0.786339,0.149185,-0.555342,0.1632,-0.467522,pop
0.005304,-0.327759,-0.016044,-1.388367,-0.606149,-0.466771,1.134076,0.877614,1.532558,0.371599,0.131606,-0.086938,-0.262499,0.85871,pop
-1.237207,-0.152676,2.722952,1.827519,-0.366175,1.887832,0.307144,-0.140531,0.27432,0.329338,0.214944,0.79642,-0.237309,0.529319,pop
-2.578237,0.044599,3.265283,2.682606,-1.717478,2.194955,-0.523202,-0.89422,1.171289,2.112828,-0.721013,0.073393,-0.467698,-0.323104,pop
-1.525657,0.136824,2.860691,2.085395,0.02168,2.250295,0.137714,-0.700186,0.811847,-0.157287,0.159529,0.358954,-0.310426,0.281766,pop
-0.543859,1.8133,3.034937,0.403025,0.863403,1.918375,0.331473,0.017633,-0.107357,-0.851935,0.094571,0.752005,-0.728602,1.013198,pop
-0.20907,1.476794,1.861411,0.63179,-0.604124,1.69084,0.927037,0.7562,0.077283,0.308239,0.192119,0.493942,-0.594756,0.785001,pop
0.493494,-1.450756,-1.0294,0.720919,-2.261039,-0.136524,1.080155,0.379362,-1.593623,-0.664972,0.391799,0.305299,1.050219,-0.248075,pop
0.772227,1.039394,0.220715,-1.1687,1.308297,0.72924,1.608216,-0.970297,0.655153,0.399445,0.26386,-0.293209,-0.617172,-0.491974,pop
0.732974,0.931179,-0.301535,0.029382,1.742786,1.634036,1.937256,-0.600808,0.292065,0.106854,-0.542656,0.866426,-0.631141,0.493103,pop
1.1454,-0.648696,-0.047311,-1.165177,-2.031608,-0.269176,1.507302,-1.019922,0.051034,-0.907235,0.902048,0.490547,-0.31559,0.17796,pop
1.409736,-0.273704,0.495604,-1.536163,-2.576847,-0.637335,0.912314,-0.104778,0.679386,-0.784152,1.228444,0.288144,0.560147,0.374624,pop
-1.153827,0.06181,-0.767707,-0.026425,-1.996267,0.167329,1.199482,0.223712,-1.211796,1.386388,1.306083,0.265341,-0.835574,1.588606,pop
5.815726,0.16018,-0.55637,0.544308,-0.57887,0.185609,-1.114577,0.081181,-0.102907,-0.63238,-0.326166,0.261712,0.391021,-0.39778,pop
-2.975212,0.658865,-1.231544,1.659284,-1.359972,1.052175,0.349024,-0.180089,-0.003227,-0.144399,0.943462,0.907054,0.636217,0.233846,pop
-1.39731,0.932125,-0.734333,-0.440162,-1.206905,0.000074,0.541016,0.302614,-0.440958,0.034047,1.738755,0.178015,1.033885,0.407725,pop
-0.935003,2.724154,0.612778,-0.388361,-1.530288,0.778869,0.375435,0.829992,-1.027447,0.239465,0.742149,0.866118,-0.374388,0.341852,pop
-1.873305,-1.596371,-3.803007,1.910305,1.573182,-0.252363,-0.187526,0.645499,1.276604,0.194092,0.00224,-1.180162,-0.016278,0.229109,pop
1.457779,-0.398189,-3.480382,-0.67359,1.237711,-0.832877,-0.507545,-0.497088,0.790835,0.530751,0.099531,-0.898468,0.348079,0.101184,pop
-0.884542,0.775007,-3.410141,0.605136,1.535396,0.849905,1.506547,-0.220187,-0.230089,-0.011456,-0.517878,-0.358289,0.953395,-0.125852,pop
0.574298,-0.188157,-3.55838,0.230046,-2.107835,-0.564219,-0.267235,-0.400373,-0.141055,-0.636526,-0.04975,-0.181302,0.173841,0.287923,pop
-0.774595,-0.634467,-2.753964,0.580805,1.600713,0.184994,1.154038,0.793613,0.435641,0.24533,0.914937,-0.574782,0.917965,0.469566,pop
2.541767,-2.298236,1.283052,0.316345,0.468002,-0.119807,0.406655,0.571949,-0.135207,0.678119,0.147807,-1.772479,0.219196,-0.019914,pop
-2.577268,-1.332611,0.214448,1.089032,0.450501,0.434282,0.207774,0.116871,0.605371,0.464498,-1.730379,0.771213,-0.022537,0.445306,pop
-2.577268,-1.332611,0.214448,1.089032,0.450501,0.434282,0.207774,0.116871,0.605371,0.464498,-1.730379,0.771213,-0.022537,0.445306,pop
